,year,month,day,temp,cloud,rainfall_total,Humidity_mean,solar,customer,wh,kwh
229,2021,8,18,22.7,6.9,22.7,93.4,13.72,676314,81117410.45,15008253.08
230,2021,8,19,22.7,6.4,19.2,90.6,15.44,676374,63170026.01,11182936.97
231,2021,8,20,24.8,3.1,0,84,21.48,676580,50678367.53,9993453.7
232,2021,8,21,24.5,9,19.9,98,3.8,676669,59229861.29,10906039.21
233,2021,8,22,25.8,7.9,0,89.5,18.26,676741,45671592.89,9931263.79
234,2021,8,23,24.1,9.9,30.6,98.8,0,676743,59794723.85,11388236.44
235,2021,8,24,25.2,9.4,29.6,98.8,0,676743,64281835.97,11912486.07
236,2021,8,25,25.2,9.8,10.7,97.9,8.42,676743,72569591.98,12488444.7
237,2021,8,26,26.3,5.9,0,82.4,21.14,676872,50335568.93,11039799.68
238,2021,8,27,23.5,8.3,10.6,98.9,7.63,676912,48996060.84,11099480.96
239,2021,8,28,25.1,6.1,0,84.3,19.74,676983,48157351.42,11036569.49
240,2021,8,29,25.5,9.5,24.6,97.8,9.2,677417,49517271.84,11834215.47
241,2021,8,30,25.5,7.9,1.9,91,16.25,677420,53415478.82,12016367.33
242,2021,8,31,26.5,7,0,89.5,18.43,677457,51136307.26,11145382.13
243,2021,9,1,24.5,9.4,45.7,97.4,5.5,678062,48376385.26,11683753.69
244,2021,9,2,21.6,9.5,3.4,98.4,5.69,678733,40720079.45,9521049.45
245,2021,9,3,22.4,8.8,1.3,94.1,14.17,679361,46479865.66,10212886.76
246,2021,9,4,23.4,8.8,0,88.6,13.17,680075,46564818.72,10170390.87
247,2021,9,5,21.6,10,1.1,91.1,5.99,680607,40416713.14,9753544.72
248,2021,9,6,21.2,9.9,2.1,93.3,6.07,680610,47572271.28,9271357.58
249,2021,9,7,22.4,9.3,2.4,94.4,6.73,680650,48160219.63,11034311.57
250,2021,9,8,22.7,5.9,0,84.4,19.76,681367,49047976.78,11054374.04
251,2021,9,9,23.1,7.8,0,84.5,16.68,682026,75545713.27,11415963.93
252,2021,9,10,23.1,8.5,0,93,7.33,682856,54466914.02,10599922.95
253,2021,9,11,24.9,2.9,0,83.9,20.67,683624,54709346.45,11548920.88
254,2021,9,12,24.8,7,0,83.3,18.2,684358,46610488.46,13267265.4
255,2021,9,13,24.2,8.8,0,69.8,15.62,684377,52208098.03,13009049.55
256,2021,9,14,22.5,9.3,2.5,85.1,7.06,684428,53235318.82,13071093.72
257,2021,9,15,24.1,5,0,64.1,22.98,685171,64282424.42,14928813.06
258,2021,9,16,21.3,7.8,2,82.5,9.8,686276,53086284.07,12426947.37
259,2021,9,17,23.2,7.6,3.2,86.5,15.23,687355,184710661.5,19025449.75
260,2021,9,18,23.3,7.1,0,81.8,13.75,688227,64661302.66,14634470.03
261,2021,9,19,23.5,4,0,77.1,17.94,689437,71122591.75,14940599.77
262,2021,9,20,23.9,4.6,0,78.6,21.96,689816,47177081.66,11266199.61
263,2021,9,21,22.5,6.4,32,92.9,11.06,689817,69186614.02,15071153.5
264,2021,9,22,23.2,3.3,1.9,84.8,18.2,689821,66847706.3,15650297.5
265,2021,9,23,21.5,2.9,0,72.6,21.43,689828,64989201.91,13323043.08
266,2021,9,24,20.9,3.6,0,76.6,19.35,689850,68056722.6,15541533.18
267,2021,9,25,21.9,6.5,0,79.8,15.58,690726,56093144.66,11362678.98
268,2021,9,26,22.2,8.4,0,78,13.07,691665,146612848.4,18020046.35
269,2021,9,27,23,8.4,0,73.8,12.17,691671,86421055.68,15163826.57
270,2021,9,28,22.7,9.1,0.3,83.8,10.69,691706,46897084.7,11851479.43
271,2021,9,29,22.7,9.8,31.2,97.8,3.32,698076,65134753.73,14591860.42
272,2021,9,30,23.5,1.5,2,67.9,0,699473,69404588.28,13614177.18
273,2021,10,1,22,2.5,0,88,11.15,687167,65960944.46,6200904.63
274,2021,10,2,22.8,1.1,0,84.1,13.76,699563,65766685.34,14943717.25
275,2021,10,3,23.7,2.5,0,77.8,20.29,700204,64010509.94,13672791.5
276,2021,10,4,25.5,5.1,0,83,17.12,700220,68500588.58,14561277.42
277,2021,10,5,24.4,2.3,0,84.1,18.9,700232,48053133.17,12302416.67
278,2021,10,6,23.9,2.6,0,81.5,20.81,700275,65727849.86,14600587.89
279,2021,10,7,22.2,3.9,0,91.8,10.76,701212,66125754.6,14914010.73
280,2021,10,8,22.3,8.5,0,93.3,10.27,702167,127857522.6,18448659.44
281,2021,10,9,24.7,5.5,0,80.4,16.77,703905,110314844.4,16040328.54
282,2021,10,10,24.1,6.8,2.1,90.6,12.74,705122,255814664.1,17100355.46
283,2021,10,11,15.9,10,9.9,98.8,4.91,705136,64081076.28,13621274.81
284,2021,10,12,17.4,10,5.9,98.9,3.81,705146,65796359.3,15835844.71
285,2021,10,13,20.1,8.4,0,90.6,10.16,705187,85998797.98,15959661.47
286,2021,10,14,21.8,5.1,0,85.4,14.09,709069,91289257.49,16130796.2
287,2021,10,15,19.4,8.4,12.3,88,10.14,713638,48645343.25,11700752.5
288,2021,10,16,13.6,9.5,4.3,70.8,6.75,715895,48437853.02,10649765.79
289,2021,10,17,8.2,1.3,0,43,20.19,716126,44737025.62,11103839.4
290,2021,10,18,11.4,3,0,53.1,19.2,716143,53130689.64,12035471.5
291,2021,10,19,11.9,6,0.8,77.8,11.65,717816,67045096.2,14481354.76
292,2021,10,20,10.5,7.3,0,64,13.02,721029,61815861.89,12556513.31
293,2021,10,21,11.3,4.5,0,71.3,17.83,722240,87546174.17,13502688.54
294,2021,10,22,11.6,0.1,0,61.1,17.73,723238,63469504.7,13735963.08
295,2021,10,23,12.6,0,0,59.4,18.25,726427,66229803.94,14105625.87
296,2021,10,24,13,5,0,62.5,15.96,726589,46206814.06,10212281.42
297,2021,10,25,13.1,1.3,0,70.8,17.03,726598,51308182.75,11643726.29
298,2021,10,26,13.6,3.6,0,69.1,16.37,727324,65567403.34,13375846.57
299,2021,10,27,14.1,1.4,0,71.6,15.61,728111,70514683.34,15092216.24
300,2021,10,28,13.8,0.8,0,61.8,17.39,729103,65252908.01,14356240.83
301,2021,10,29,15.1,4,0,66.4,14.71,730251,79896617.66,14543712.06
302,2021,10,30,13.9,5.6,0,75.9,6.63,731176,75820797.62,14932870.59
303,2021,10,31,14.7,1.6,0,75.6,15.7,731330,67884687.91,15205847.41
304,2021,11,1,14.5,3.4,0,80,13.22,731338,77094132.98,15366911.32
305,2021,11,2,12.1,3.5,0,79,12.29,732291,76796736.17,17427097.77
306,2021,11,3,12.2,4.1,0,72.4,14.77,735073,50402073.43,12915492.11
307,2021,11,4,13.9,2.3,0.4,78.5,14.78,736153,76396928.9,16115801.43
308,2021,11,5,13.7,5.1,0,72.9,10.83,736616,76333767.79,12957658.95
309,2021,11,6,15.7,1.6,0,58.5,14.78,737012,49058774.02,13205699.24
310,2021,11,7,16.6,3.8,0,61.4,14.6,737117,55297811.86,11433967.36
311,2021,11,8,11.6,9.1,21.2,82.1,4.73,737126,141905935.4,13218532.45
312,2021,11,9,8.4,9.4,0.5,79.1,5.36,738397,70160722.51,16955177.84
313,2021,11,10,7.8,10,20.6,94.4,4.73,738976,59454029.21,14246906.34
314,2021,11,11,8.1,8.5,7.3,94.9,5.4,739305,82812397.73,18968075.03
315,2021,11,12,7,5.8,2.2,90.4,9.13,739669,62957138.98,13207403.62
316,2021,11,13,9.1,4.3,0,85.9,11.1,739832,78141952.32,18356953.52
317,2021,11,14,10.3,2.9,0,83.5,10.63,739864,46527470.54,12113821.35
318,2021,11,15,10.8,2.9,0,82.9,12.34,739879,50492597.78,12633434.13
319,2021,11,16,10.6,3.1,0,69.8,12.26,710114,79895451.58,16185816.63
320,2021,11,17,9.5,3.1,0,72.3,13.58,710097,73251567.77,15990792.01
321,2021,11,18,10.5,2.1,0,79.1,12.86,713231,58773540.05,12357717.56
322,2021,11,19,11.5,2.3,0,87.1,12.1,713486,51401250.19,13365977.5
323,2021,11,20,10.9,4.9,0,91.8,10.44,713636,69089260.15,15757012.15
324,2021,11,21,12.3,8.5,0,91.4,5.23,713664,56283815.3,14564410.03
325,2021,11,22,7.3,7.9,1.9,73.6,6.92,713673,80799601.27,16789615.64
326,2021,11,23,4,9.6,8.5,97,4.52,713360,72637875,15725123.75
327,2021,11,24,8.3,5,0,76.4,9.21,713081,72018056.38,10570928.34
