,cloud,year,month,day,date,temp,rainfall_total,Humidity_mean,solar
326,9.6,2021,11,23,2021-11-23,4.0,8.5,97.0,4.52
327,5.0,2021,11,24,2021-11-24,8.3,0.0,76.4,9.21
328,2.8,2021,11,25,2021-11-25,9.8,0.0,73.3,10.51
329,0.0,2021,11,26,2021-11-26,7.6,0.0,60.1,13.54
330,0.0,2021,11,27,2021-11-27,7.0,0.0,60.0,13.67
331,3.3,2021,11,28,2021-11-28,7.7,0.0,60.8,13.06
332,2.4,2021,11,29,2021-11-29,8.9,0.0,69.6,12.51
333,9.1,2021,11,30,2021-11-30,8.7,23.2,86.5,1.73
334,9.6,2021,12,1,2021-12-01,2.4,1.5,81.1,4.57
335,8.0,2021,12,2,2021-12-02,4.2,0.0,67.9,10.64
336,6.9,2021,12,3,2021-12-03,5.9,0.5,76.5,6.6
337,4.0,2021,12,4,2021-12-04,4.7,0.0,67.4,6.47
338,0.8,2021,12,5,2021-12-05,5.4,0.0,72.1,12.22
339,4.1,2021,12,6,2021-12-06,8.3,0.0,77.8,12.14
340,0.0,2021,12,7,2021-12-07,8.0,0.0,75.1,11.56
341,0.3,2021,12,8,2021-12-08,8.1,0.0,71.8,12.13
342,6.1,2021,12,9,2021-12-09,8.3,0.0,77.4,8.08
343,5.3,2021,12,10,2021-12-10,9.9,0.0,86.6,7.8
344,5.5,2021,12,11,2021-12-11,8.6,0.0,81.8,10.37
345,4.0,2021,12,12,2021-12-12,6.3,0.0,69.8,6.12
346,0.1,2021,12,13,2021-12-13,1.0,0.0,50.9,12.83
347,5.0,2021,12,14,2021-12-14,3.5,0.0,66.0,9.93
348,4.9,2021,12,15,2021-12-15,7.5,0.0,82.3,8.58
349,8.3,2021,12,16,2021-12-16,7.8,0.5,92.0,5.67
350,7.6,2021,12,17,2021-12-17,0.2,3.5,79.0,4.92
351,4.1,2021,12,18,2021-12-18,-2.3,0.0,68.5,10.5
352,3.9,2021,12,19,2021-12-19,3.3,0.1,74.3,10.55
353,2.1,2021,12,20,2021-12-20,6.1,0.0,74.8,9.46
354,1.1,2021,12,21,2021-12-21,7.0,0.0,82.9,9.63
355,0.0,2021,12,22,2021-12-22,5.8,0.0,58.0,12.23
356,0.9,2021,12,23,2021-12-23,5.4,0.0,53.4,11.48
357,6.0,2021,12,24,2021-12-24,3.7,0.0,68.8,7.21
358,7.3,2021,12,25,2021-12-25,-3.8,0.0,63.5,7.03
359,1.5,2021,12,26,2021-12-26,-5.2,0.0,53.6,12.71
360,3.4,2021,12,27,2021-12-27,-2.1,0.0,65.9,11.35
361,6.8,2021,12,28,2021-12-28,3.3,0.0,69.3,7.49
362,8.3,2021,12,29,2021-12-29,4.5,0.0,70.4,7.77
363,6.1,2021,12,30,2021-12-30,1.9,1.0,67.1,9.89
364,2.9,2021,12,31,2021-12-31,-1.9,0.0,62.5,10.95
365,5.4,2022,1,1,2022-01-01,-0.1,0.0,39.4,11.91
366,2.6,2022,1,2,2022-01-02,0.7,0.0,67.1,7.43
367,0.3,2022,1,3,2022-01-03,0.4,0.0,70.0,13.18
368,4.3,2022,1,4,2022-01-04,2.0,0.0,54.8,12.34
369,9.3,2022,1,5,2022-01-05,2.2,0.0,37.1,4.53
370,0.6,2022,1,6,2022-01-06,2.4,0.0,44.4,12.98
371,0.0,2022,1,7,2022-01-07,0.9,0.0,56.3,13.38
372,2.5,2022,1,8,2022-01-08,1.7,0.0,62.0,12.69
373,5.8,2022,1,9,2022-01-09,3.3,0.0,74.3,9.5
374,5.4,2022,1,10,2022-01-10,2.8,0.0,71.3,11.41
375,9.8,2022,1,11,2022-01-11,-1.6,0.2,82.4,8.22
376,6.5,2022,1,12,2022-01-12,-2.5,0.0,64.4,9.76
377,8.9,2022,1,13,2022-01-13,-2.5,0.0,72.0,6.38
378,3.4,2022,1,14,2022-01-14,-0.9,0.0,49.3,13.72
379,5.0,2022,1,15,2022-01-15,2.2,0.0,54.5,9.81
380,6.4,2022,1,16,2022-01-16,1.9,0.0,66.6,11.28
381,5.5,2022,1,17,2022-01-17,0.4,0.0,63.0,9.38
